subject_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
130316,DorsAttn,26,0.4849680715337294,0.0044050638389270215,6.134759354383563e-06,6.1076872004106875e-06,0.000559525304006896
130316,SalVentAttn,22,0.404934271489325,0.0033037474359867186,5.277563453041811e-06,6.613223449849698e-06,0.0005320376366900208
130316,Limbic,12,0.31599293420977664,0.00326094656843743,6.512882433036873e-06,5.6683913935261415e-06,0.000531382952718939
130316,Cont,30,0.48010851285890405,0.004508452221799178,6.832696961584425e-06,7.361931575718535e-06,0.0006486606553270435
130316,Default,46,0.396756950561662,0.004110906888152377,6.658817376655701e-06,8.016828152352919e-06,0.000661792044752793
130417,Vis,29,0.33653291025802373,0.00046031476495777656,3.5701547646096765e-06,2.4200698865149073e-06,0.0002540967830608282
130417,SomMot,35,0.38375989244376874,0.0008546347035085585,2.2235035805413445e-06,2.912755883039975e-06,0.00022739617370423596
130417,DorsAttn,26,0.34202874688853463,0.000946061743236173,3.1488990771438202e-06,3.1260020054951223e-06,0.0002803800829675366
130417,SalVentAttn,22,0.3816570699977349,0.0007875419040028216,2.6448887165939294e-06,3.5760827234081564e-06,0.0002730660038484964
130417,Limbic,12,0.2596459948705164,0.0008694976429616414,4.469437385050958e-06,3.828078269815048e-06,0.00035898256160185995
130417,Cont,30,0.36991532976150376,0.0009493685612155076,3.49221292314981e-06,3.5842667568328827e-06,0.00031509129712597203
130417,Default,46,0.3462148745746424,0.0011547272556962915,3.878689418801735e-06,4.589149451909562e-06,0.00037571160034474623
130518,Vis,29,0.32387536807596595,0.0008085526874435218,3.818143056436502e-06,3.0819413502225752e-06,0.00029901902462602754
130518,SomMot,35,0.4357957783698943,0.0008713490198397336,1.6070398033810326e-06,1.7176632660380615e-06,0.0001480597563386558
130518,DorsAttn,26,0.3861732668229747,0.0007975836020581962,2.017195954573531e-06,1.9459119589658016e-06,0.00017577130993592295
130518,SalVentAttn,22,0.40745128950870446,0.0007232850528263159,1.9415479101660044e-06,2.2567578605006517e-06,0.0001868268640818278
130518,Limbic,12,0.3363598204771874,0.001058389326274676,2.5768362028767006e-06,2.657765015243862e-06,0.0002261942123513418
130518,Cont,30,0.36551984329246384,0.0013930259884757197,2.823477284755765e-06,3.4166405037922563e-06,0.0002786427789368371
130518,Default,46,0.3779565634911756,0.0017012677493573177,2.8806333784306868e-06,3.71601729655928e-06,0.0002925750248465071
130619,Vis,29,0.3365588933262028,0.0008121917664750424,2.4168931545503267e-06,1.5645425505894566e-06,0.00016629897243610885
130619,SomMot,35,0.3884200676925184,0.0006159772288636799,1.6789903712011356e-06,1.9549743211884803e-06,0.0001623550983098186
130619,DorsAttn,26,0.37322724163664733,0.0006026978123997045,1.931278263351016e-06,2.0693971005659943e-06,0.00017692949231097648
130619,SalVentAttn,22,0.37793733126991236,0.0005900770788462955,1.19235133649299e-06,1.5540001933676782e-06,0.00011959283715559859
130619,Limbic,12,0.31567685278820884,0.0006826241108372932,2.3322649008563218e-06,2.573446565559222e-06,0.00021186735292245786
130619,Cont,30,0.3801101118315165,0.0007468955812843188,1.8340649520225295e-06,1.976310263187961e-06,0.00016527139508096562
130619,Default,46,0.36112267957815314,0.0007362756848064808,1.975072275844462e-06,2.150711940781032e-06,0.00018008812526085677
130720,Vis,29,0.3798940704367723,0.000504226835666661,3.081366144949706e-06,2.398580650358521e-06,0.00023735984500152657
130720,SomMot,35,0.43807085819357805,0.000987243337413577,1.872753944258637e-06,2.0086746290710547e-06,0.00017261561255560177
130720,DorsAttn,26,0.3679023360809398,0.0006359961905264405,2.3973505442098468e-06,2.7842902028353765e-06,0.00023224528635854293
130720,SalVentAttn,22,0.4139553038849936,0.0005647289135106616,1.9621432653680743e-06,2.590533539256027e-06,0.0002017560286933114
130720,Limbic,12,0.3131598191617152,0.0009341646552264528,2.992854198396758e-06,2.8459656269792696e-06,0.00025739648653955047
130720,Cont,30,0.3755711950778675,0.0008646679425437441,2.8299198639610787e-06,3.580338195614147e-06,0.00028583518468772303
130720,Default,46,0.3673976199656153,0.0009475234216147841,2.9385338892496214e-06,3.7588407401300216e-06,0.0002967938930101024
130821,Vis,29,0.3718745739952673,0.003034145953172118,7.693268053035957e-06,5.4573763348030655e-06,0.0005807623592462654
130821,SomMot,35,0.3787926027626368,0.002526446074826218,5.313053010069236e-06,6.847193914418494e-06,0.0005545243816920597
130821,DorsAttn,26,0.3907147464492168,0.003394124333274263,6.200247656329258e-06,5.969827874687253e-06,0.0005533234363152854
