shuffle_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
8,Default,46,0.4854712056899593,0.002555062222743598,5.998659032717163e-06,5.588311385510594e-06,0.0005214295896457562
9,Vis,29,0.3683665725460583,0.00588571669533199,7.260585303453282e-06,7.290529323274984e-06,0.0006551728122927991
9,SomMot,35,0.3906167348150799,0.002497674647537046,3.839618691244199e-06,3.5518322466513174e-06,0.00033193808383832614
9,DorsAttn,26,0.35600121947506297,0.0029609789427388344,4.87498732295491e-06,5.650257398542609e-06,0.00046928187826278487
9,SalVentAttn,22,0.36327324707314124,0.0024206664437945607,4.44342708610949e-06,4.198615280262516e-06,0.00038931957974596695
9,Limbic,12,0.39288736658366447,0.0036067127791358723,5.3988907084376355e-06,5.301993658191992e-06,0.0004893848313429317
9,Cont,30,0.35674228157122173,0.00330728217214491,4.754947076675209e-06,5.305416739445488e-06,0.0004593115857942566
9,Default,46,0.41328408315878407,0.0062911983258478596,6.517438747506371e-06,6.170686933920847e-06,0.0005811953376321026
10,Vis,29,0.33517252250831786,0.0030116625865335765,4.3675334040022274e-06,5.310215387068379e-06,0.0004409621513526005
10,SomMot,35,0.36319718209957613,0.0013268487891799283,3.227563858641226e-06,3.355940352037963e-06,0.00029887726437997095
10,DorsAttn,26,0.3497997785941872,0.002196500798532891,4.100769245000306e-06,4.526561153290629e-06,0.0003951523442821253
10,SalVentAttn,22,0.36486757874671677,0.0021847126777892988,3.9076705338085984e-06,4.034026241250423e-06,0.0003688765001956505
10,Limbic,12,0.34936167948469604,0.002693466302745244,5.125387769317561e-06,4.484459289345655e-06,0.00043353841561050323
10,Cont,30,0.36181977526597425,0.002631207281258083,4.880763929668089e-06,4.94017902973299e-06,0.00044895966679267784
10,Default,46,0.34302380549685546,0.003112117263963767,5.4237715857675035e-06,5.9809504569861385e-06,0.0005250805403646428
11,Vis,29,0.370264450260871,0.004710148699264726,6.1157211126995265e-06,7.037208875808014e-06,0.0006031328696686951
11,SomMot,35,0.3392827929738823,0.002501521924775895,3.2844989616986743e-06,4.265324926355495e-06,0.00033895829788845575
11,DorsAttn,26,0.32887464360542656,0.0026314780141933544,4.294297429389723e-06,4.926725541842248e-06,0.0004186603371516336
11,SalVentAttn,22,0.3413330378850601,0.0041288634778645335,3.6434347582158107e-06,5.436744491000143e-06,0.00041173048946215073
11,Limbic,12,0.3144414475551382,0.0030096370537885894,4.736090393684093e-06,5.8740989841278985e-06,0.00046612968694548343
11,Cont,30,0.3239274833254261,0.0035853021332285144,5.191593699664919e-06,5.880774509830545e-06,0.0005000997747760534
11,Default,46,0.30327744914339577,0.005273685457610099,5.553512124964642e-06,8.167734524914865e-06,0.0006159500530345372
12,Vis,29,0.48205371184245865,0.005950766015120861,6.58974537515752e-06,6.288162478711402e-06,0.0005974717637621213
12,SomMot,35,0.43211676839021756,0.002781935215614196,4.2901929990459496e-06,3.306410713914051e-06,0.00033887510345293837
12,DorsAttn,26,0.40882978319510144,0.002221861591872786,4.982003253419689e-06,4.611957085928002e-06,0.00043412366287759176
12,SalVentAttn,22,0.4600037027698386,0.00200959555123064,4.854738455754665e-06,4.507848056441267e-06,0.000428699858240034
12,Limbic,12,0.40722311260790206,0.0021195678860501236,5.150764600467261e-06,4.118068627299982e-06,0.00041343813261169427
12,Cont,30,0.4289731118845897,0.002684483299021089,4.863031095199362e-06,4.457360676835339e-06,0.00042105357471051763
